Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Togo,833.0,2040.0,4020.0,0.02,0.2,1.26,0.15,0.6,1.004837,0.79795
Tonga,24.1,68.8,190.0,0.07,0.02,0.22,0.01,0.0,2.694803,0.535763
Trinidad and Tobago,263.0,15900.0,35900.0,6.21,0.33,3.11,12.39,16.41,38.85787,1.292759
Tunisia,2400.0,9070.0,25000.0,8.36,3.37,6.36,5.38,4.54,3.349585,0.322906
Turkey,46600.0,93900.0,340000.0,115.16,72.42,51.06,64.13,43.44,6.442791,0.359608
Turkmenistan,5160.0,40700.0,68800.0,18.14,28.25,10.38,7.31,6.85,21.76861,1.778944
Turks and Caicos Islands,0.98,16.1,55.6,0.09,0.02,0.07,0.01,0.0,2.240326,0.270029
Uganda,4570.0,9370.0,25000.0,0.84,0.47,1.85,0.56,0.75,1.073305,0.660328
Ukraine,21300.0,65400.0,316000.0,134.1,41.84,31.3,66.62,43.65,8.888375,1.061724
United Arab Emirates,2290.0,33900.0,189000.0,65.77,0.55,30.76,71.3,17.34,25.28733,0.418765
United Kingdom,24100.0,65600.0,470000.0,182.87,97.07,115.16,67.35,24.54,8.716702,0.238989
United States,281000.0,644000.0,5200000.0,2116.62,535.58,1691.98,687.5,241.9,19.56451,0.386117
Uruguay,8110.0,7900.0,24700.0,2.93,1.04,3.3,0.92,0.48,11.98505,0.648625
Uzbekistan,11300.0,53900.0,117000.0,36.72,43.82,7.83,19.23,10.96,6.161678,1.300732
Vanuatu,107.0,126.0,371.0,0.05,0.01,0.15,0.0,0.0,2.440406,0.841812
Venezuela,12900.0,78900.0,191000.0,30.9,6.44,52.87,78.56,30.08,9.464766,0.535126
Viet Nam,20400.0,165000.0,110000.0,41.46,11.35,29.61,42.35,29.26,3.263215,0.677397
Virgin Islands,5.17,10.4,85.0,0.06,0.01,0.04,0.0,0.0,3.528594,0.172276
Yemen,4610.0,18500.0,22700.0,5.81,3.03,5.48,3.1,3.66,1.838715,0.510111
Zambia,3380.0,6350.0,10400.0,0.03,0.24,0.91,1.53,0.85,1.363735,0.390306
Zimbabwe,4140.0,11300.0,10600.0,5.55,1.34,2.58,1.97,1.04,1.775448,1.084327
